time_sec,true_posture
9,QIYAM
10,QIYAM
11,QIYAM
12,QIYAM
13,QIYAM
14,QIYAM
15,QIYAM
16,QIYAM
17,QIYAM
18,QIYAM
19,QIYAM
20,QIYAM
21,QIYAM
22,QIYAM
23,QIYAM
24,QIYAM
25,RUKU
26,RUKU
27,RUKU
28,RUKU
30,QIYAM
31,QIYAM
32,QIYAM
34,TASHAHHUD
35,SUJUD
36,SUJUD
37,SUJUD
38,SUJUD
40,TASHAHHUD
41,TASHAHHUD
42,TASHAHHUD
44,SUJUD
45,SUJUD
46,SUJUD
47,SUJUD
49,TASHAHHUD
50,TASHAHHUD
52,QIYAM
53,QIYAM
54,QIYAM
55,QIYAM
56,QIYAM
58,RUKU
59,RUKU
60,QIYAM
61,QIYAM
62,QIYAM
63,QIYAM
64,QIYAM
67,SUJUD
68,SUJUD
69,TASHAHHUD
70,TASHAHHUD
71,TASHAHHUD
72,TASHAHHUD
73,TASHAHHUD
75,SUJUD
76,SUJUD
77,SUJUD
