time_sec,true_posture
0,QIYAM
1,QIYAM
2,QIYAM
3,QIYAM
4,QIYAM
5,QIYAM
6,QIYAM
7,QIYAM
8,QIYAM
9,QIYAM
10,QIYAM
11,QIYAM
12,QIYAM
13,QIYAM
14,QIYAM
15,QIYAM
16,QIYAM
17,QIYAM
18,RUKU
19,RUKU
20,QIYAM
21,QIYAM
22,QIYAM
23,QIYAM
25,SUJUD
26,SUJUD
27,SUJUD
28,SUJUD
29,SUJUD
30,TASHAHHUD
31,TASHAHHUD
32,TASHAHHUD
33,TASHAHHUD
34,TASHAHHUD
35,TASHAHHUD
36,SUJUD
37,SUJUD
38,SUJUD
39,TASHAHHUD
40,TASHAHHUD
41,TASHAHHUD
42,TASHAHHUD
44,QIYAM
45,QIYAM
46,QIYAM
47,QIYAM
48,QIYAM
49,QIYAM
50,RUKU
51,RUKU
52,RUKU
53,RUKU
55,QIYAM
56,QIYAM
57,QIYAM
58,QIYAM
60,SUJUD
61,SUJUD
62,SUJUD
63,SUJUD
64,TASHAHHUD
65,TASHAHHUD
66,TASHAHHUD
67,TASHAHHUD
68,TASHAHHUD
69,SUJUD
70,SUJUD
71,SUJUD
72,SUJUD
73,TASHAHHUD
74,TASHAHHUD
75,TASHAHHUD
76,TASHAHHUD
78,QIYAM
79,QIYAM
80,QIYAM
81,QIYAM
82,QIYAM
83,QIYAM
84,RUKU
85,RUKU
86,RUKU
87,QIYAM
88,QIYAM
89,QIYAM
90,QIYAM
93,SUJUD
94,SUJUD
95,SUJUD
96,SUJUD
98,TASHAHHUD
99,TASHAHHUD
100,TASHAHHUD
101,TASHAHHUD
102,SUJUD
103,SUJUD
104,SUJUD
105,SUJUD
107,TASHAHHUD
108,TASHAHHUD
109,TASHAHHUD
110,TASHAHHUD
111,SUJUD
112,SUJUD
113,TASHAHHUD
114,TASHAHHUD
115,TASHAHHUD
116,TASHAHHUD
117,TASHAHHUD
119,QIYAM
120,QIYAM
121,QIYAM
122,QIYAM
123,QIYAM
124,QIYAM
125,QIYAM
126,RUKU
127,RUKU
128,QIYAM
129,QIYAM
130,QIYAM
131,QIYAM
132,QIYAM
134,SUJUD
135,SUJUD
136,SUJUD
137,SUJUD
138,TASHAHHUD
139,TASHAHHUD
140,TASHAHHUD
141,TASHAHHUD
142,TASHAHHUD
143,SUJUD
144,SUJUD

















