time_sec,true_posture
12,QIYAM
13,QIYAM
14,QIYAM
15,QIYAM
16,QIYAM
17,QIYAM
18,QIYAM
19,QIYAM
20,QIYAM
    38,SUJUD
39,TASHAHHUD
40,TASHAHHUD
41,TASHAHHUD
42,TASHAHHUD
43,SUJUD
44,SUJUD
45,SUJUD
46,TASHAHHUD
47,TASHAHHUD
48,TASHAHHUD
49,TASHAHHUD
50,QIYAM
51,QIYAM
52,QIYAM
53,QIYAM
54,QIYAM
55,QIYAM
56,QIYAM
57,QIYAM
58,QIYAM
59,RUKU
60,RUKU
61,RUKU
62,QIYAM
63,QIYAM
64,QIYAM
65,QIYAM
68,SUJUD 
69,SUJUD
70,TASHAHHUD
71,TASHAHHUD
72,TASHAHHUD
73,TASHAHHUD
74,TASHAHHUD
75,TASHAHHUD
76,SUJUD
77,SUJUD
79,TASHAHHUD
80,TASHAHHUD
81,TASHAHHUD
82,TASHAHHUD
83,TASHAHHUD
84,TASHAHHUD
86,QIYAM
87,QIYAM
88,QIYAM
89,QIYAM
90,QIYAM
91,QIYAM
92,QIYAM
93,RUKU
94,RUKU
95,QIYAM
96,QIYAM
97,QIYAM
98,QIYAM
99,QIYAM
100,QIYAM
101,QIYAM
102,RUKU
103,RUKU
104,RUKU
105,QIYAM
106,QIYAM
107,QIYAM
109,SUJUD
110,SUJUD
111,SUJUD
112,SUJUD
113,TASHAHHUD
114,TASHAHHUD
115,TASHAHHUD
116,TASHAHHUD
117,TASHAHHUD
118,TASHAHHUD
119,SUJUD
120,SUJUD












